ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
CN_2091379,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2091417,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2091417,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2091465,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2091465,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,FALSE
CN_2091749,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2091749,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2091822,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2091822,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2092002,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2092002,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2092150,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2092150,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2092280,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2092280,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2092469,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2092469,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2092617,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2092617,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2092884,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2092884,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2093102,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2093102,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2093540,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2093540,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2093752,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2093752,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2093858,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2093858,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2093964,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2093964,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2094119,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2094119,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2094331,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2094331,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2094333,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2094333,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2094542,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2094542,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2094865,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2094865,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2095104,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2095104,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,FALSE
CN_2095358,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2095358,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2095401,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2095401,M,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2096079,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2096079,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2096196,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2096196,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2096588,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,TRUE
CN_2096588,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2096696,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2096696,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2096717,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2096717,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2096896,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2096896,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2096947,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,r,TRUE
CN_2096947,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,l,TRUE
CN_2097226,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2097226,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
CN_2099532,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,1,l,FALSE
CN_2099532,F,CN,Chinese,different,Sino-Tibetan,Southeast Asia,2,r,TRUE
DE_2002066,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2002066,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2002181,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2002181,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2003687,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2003687,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2006973,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2006973,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2006992,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2006992,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2007185,M,DE,German,roman,IE,Europe,1,r,TRUE
DE_2007185,M,DE,German,roman,IE,Europe,2,l,TRUE
